Datum;Eröffnung;Hoch;Tief;Schluss;Volumen
23.12.2015;97,95;99,08;97,62;98,55;886.473,00
22.12.2015;96,34;97,23;94,74;96,35;1.142.643,00
21.12.2015;96,38;99,36;95,50;95,50;1.325.708,00
18.12.2015;97,60;98,52;96,03;96,71;2.791.328,00
17.12.2015;98,24;99,49;98,15;98,72;2.218.039,00
16.12.2015;95,29;96,60;94,48;95,49;1.530.588,00
15.12.2015;92,74;95,50;92,74;94,69;1.490.529,00
14.12.2015;94,08;95,08;91,57;91,90;1.680.614,00
11.12.2015;97,15;97,20;93,24;94,11;2.035.528,00
10.12.2015;96,20;97,98;96,15;97,27;1.018.605,00
09.12.2015;97,40;98,47;95,85;97,14;1.243.850,00
08.12.2015;100,30;100,35;96,07;97,20;1.404.543,00
07.12.2015;99,21;101,45;98,94;99,99;1.028.514,00
04.12.2015;97,91;99,11;96,40;98,17;1.888.066,00
03.12.2015;102,30;104,15;97,41;98,34;2.783.841,00
02.12.2015;103,70;103,85;101,90;102,65;1.258.909,00
01.12.2015;103,60;104,85;103,15;103,30;1.498.201,00
30.11.2015;101,40;104,10;101,15;103,30;1.758.637,00
27.11.2015;100,25;102,00;99,93;101,50;1.085.280,00
26.11.2015;99,50;101,65;99,45;100,85;1.257.150,00
25.11.2015;97,48;99,52;96,24;99,50;1.210.034,00
24.11.2015;98,00;98,68;96,16;96,76;1.388.239,00
23.11.2015;98,97;99,28;98,16;98,45;1.009.608,00
20.11.2015;99,00;99,59;98,61;99,17;1.538.165,00
19.11.2015;97,90;99,36;97,74;98,73;1.389.820,00
18.11.2015;96,91;97,94;96,42;97,45;928.612,00
17.11.2015;95,71;97,59;95,27;97,26;1.374.915,00
16.11.2015;93,28;95,48;93,28;94,71;1.018.574,00
13.11.2015;94,20;95,79;93,00;94,54;1.435.459,00
12.11.2015;95,74;95,76;93,64;94,46;1.544.659,00
11.11.2015;95,89;97,01;95,54;96,18;1.498.093,00
10.11.2015;95,49;96,11;94,00;95,93;1.260.190,00
09.11.2015;96,23;97,24;94,80;94,96;1.590.171,00
06.11.2015;92,78;96,84;92,78;96,03;2.565.914,00
05.11.2015;92,52;93,41;91,58;92,78;1.351.343,00
04.11.2015;92,73;93,18;89,74;92,45;2.866.718,00
03.11.2015;95,80;96,00;91,95;93,57;2.516.208,00
02.11.2015;92,73;94,56;92,71;94,36;1.425.532,00
30.10.2015;93,61;94,03;92,47;93,36;1.272.422,00
29.10.2015;94,00;94,17;92,65;93,34;1.161.212,00
28.10.2015;92,55;93,51;91,55;92,97;1.032.763,00
27.10.2015;93,05;93,26;92,25;92,38;1.129.783,00
26.10.2015;92,84;93,99;92,39;92,91;1.213.819,00
23.10.2015;91,71;94,46;91,71;93,29;3.194.668,00
22.10.2015;87,66;90,67;86,96;90,35;2.392.035,00
21.10.2015;87,92;88,56;86,67;88,00;1.080.837,00
20.10.2015;87,35;88,00;86,37;87,28;1.072.542,00
19.10.2015;86,60;88,00;86,55;87,69;997.830,00
16.10.2015;87,90;87,90;86,04;86,74;1.406.404,00
15.10.2015;87,71;88,14;86,74;87,01;1.390.518,00
